序号,p_date,comment_id,评论链接,comment_content,voice_asr_text,voice_duration,show_comment_cnt_td,direct_reply_comment_cnt_td,like_comment_cnt_td,dislike_comment_cnt_td,voice_resource_id,链接,内容分,音频分,优质判断,意图表达,评论内容和语音内容的关系,语音音频和语音asr文本内容的关系,标注员
2175.0,20260610.0,1131159579656.0,,,111兄弟在吗？,2545.0,4473.0,6.0,5.0,0.0,YjmeK6Sne9s.aac,,0.0,0.0,一般,发语音玩,无评论内容,完全一致,张淑君
2176.0,20260610.0,1140321512122.0,,,我今天才能发。,2693.0,4467.0,5.0,6.0,0.0,r_hg5Am3X5M.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2177.0,20260607.0,1131504940301.0,,奶龙也会飞,别闹粗手会飞。扑棱扑棱，扑棱扑棱。,5586.0,4465.0,9.0,11.0,1.0,huoZo15NPTY.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,张淑君
2178.0,20260610.0,1140091545024.0,,,不知道什么时候增加这个语音功能。,3167.0,4460.0,2.0,1.0,0.0,MqR9saQRCAs.aac,,1.0,1.0,优质,提问,无评论内容,完全一致,张淑君
2179.0,20260610.0,1139682060004.0,,,嘿哈哈哈哈哈哈哈哈哈哈。哎呦我操，哈哈哈哈，哎呦我去。,10790.0,4459.0,6.0,19.0,0.0,P9dEG8ZVMWc.aac,,-1.0,-1.0,劣质,其他,无评论内容,语义相等内容有差异,张淑君
2180.0,20260606.0,1131399399069.0,,《别难过》后面不会唱了[落泪]是清唱勿喷[大哭],没有任何意义，只是你根本爱过我脑袋空白的红色。你写的这首歌其实没什么大不得，只是眼睛闪烁。全是红色，把你的心给我，把你的爱给我。,16969.0,4459.0,7.0,37.0,0.0,zxozFKSt6GQ.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2181.0,20260610.0,1137569791120.0,,只会这些（因为后面老是跑调）可能会不好听，勿喷[落泪],无时无刻，这是一首无法停止单曲循环的。无名的。,12863.0,4458.0,5.0,11.0,0.0,PxYkIvV5H-E.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2182.0,20260602.0,1135488564051.0,,Oppo的,我也有。,1388.0,4458.0,0.0,0.0,0.0,aI52CoIRrmY.aac,,0.0,0.0,一般,社交互动,相关-互为补充,完全一致,张淑君
2183.0,20260610.0,1134206145483.0,,[汗]听完自己的声音给我吓哭了,中奖概率倍儿高，奖品页码倍儿好，手机钞票奔驰，今天还有大捡漏停。中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金条，还有大金龙玩没中。,14100.0,4456.0,2.0,13.0,0.0,fEIjy4Hc6eQ.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2184.0,20260608.0,1132224408770.0,,不是表情包，是表情包我M4掉,额，我没看错的话，快手好像出语音功能了。,5593.0,4452.0,7.0,23.0,1.0,znBXBEEZtt8.aac,,1.0,1.0,优质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2185.0,20260607.0,1137283302543.0,,,其实雨也没多大。是风在拼命过。,8495.0,4449.0,7.0,26.0,0.0,jflIzYI_1hQ.aac,,0.0,1.0,优质,唱歌/朗诵,无评论内容,语义相等内容有差异,张淑君
2186.0,20260605.0,1136258714194.0,,,嗯，对，就是听说那个变声器变不回来了，今天下了一个发现。不是那样的。,9432.0,4444.0,3.0,0.0,0.0,rExkris9OnA.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2187.0,20260609.0,1131631278769.0,,光遇打喷嚏,你天。对着镜子。1234。,10398.0,4444.0,9.0,38.0,0.0,MFxrbbgg3T8.aac,,0.0,0.0,一般,其他,相关-互为补充,语义相等内容有差异,张淑君
2188.0,20260610.0,1132795207877.0,,[都市丽人]劝你们不要打开,弄来的狗来的狗，我想要这首歌，这是什么，你不懂这是眼睛再色，这是红色，把你的心给我。把你的爱给我，只样我才能在脸上，只有可能的把握。,14739.0,4444.0,10.0,10.0,0.0,feDMA5V2cXY.aac,,-1.0,-1.0,劣质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,张淑君
2189.0,20260610.0,1132060204903.0,,,嗯，姐姐我摔倒了。,3044.0,4441.0,2.0,0.0,0.0,Up2SvVFncrw.aac,,0.0,0.0,一般,发语音玩,无评论内容,语义相等内容有差异,张淑君
2190.0,20260603.0,1137641562943.0,,,我这也是真的好吧。,3936.0,4440.0,4.0,4.0,0.0,nRM4Ny2Lpjg.aac,,0.0,-1.0,劣质,社交互动,无评论内容,语义相等内容有差异,张淑君
2191.0,20260604.0,1134704612058.0,,我就这样折磨同桌[憨笑哪吒],翻山越岭再也找不到像你一样的存在，不存在。,8454.0,4440.0,3.0,12.0,0.0,5z3sy0tbK4I.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2192.0,20260610.0,1137858940175.0,,看我像不像？,笨蛋蛋。,2389.0,4439.0,5.0,18.0,0.0,pagYRxdnc8E.aac,,0.0,0.0,一般,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2193.0,20260610.0,1134368492122.0,,,十里桃花。待嫁的年华。,5817.0,4439.0,16.0,0.0,0.0,UQZcNaaLmTg.aac,,0.0,0.0,一般,唱歌/朗诵,无评论内容,语义相等内容有差异,张淑君
2194.0,20260610.0,1133067579029.0,,好玩[奸笑],向上向上向上向上向。大家好。,7930.0,4438.0,15.0,48.0,0.0,oMGkKVi0kC4.aac,,0.0,0.0,一般,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2195.0,20260610.0,1138079263795.0,,嗯嗯,都可以随便的，你说的我都愿意去小火车。白懂得相遇都可以是真的，你说的我都会相信因为我。完全信任你。细腻的喜欢毛毯般的厚重感，晒过太阳熟悉的安全感。分享热汤，我们两只汤是一个碗坐进房。暖暖的好饱满，我想说其实你很好，你自己却不知道。真心的对我好，不要求回报，爱一个人希望他过更好。打从心里暖暖的你比自己更重要。,57569.0,4429.0,1.0,10.0,1.0,raaEJpycHd0.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2196.0,20260610.0,1131646602538.0,,😤,骗你的我也不会嘘。,4025.0,4424.0,5.0,16.0,1.0,PBWLf7PXXxc.aac,,0.0,0.0,一般,社交互动,相关-引导听评论,语义相等内容有差异,张淑君
2197.0,20260610.0,1133105776078.0,,,你俩搁这干啥呢，风这么大还拍。小拍的身体都变形了都。,7546.0,4421.0,15.0,115.0,0.0,fRfnazMQGYs.aac,,0.0,1.0,优质,观点表达,无评论内容,完全一致,张淑君
2198.0,20260610.0,1131279734674.0,,_突然想炸麦了,啊。,3984.0,4417.0,10.0,21.0,0.0,j54icLm4nMg.aac,,0.0,0.0,一般,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2199.0,20260610.0,1138930650814.0,,听到第四首突然想到的[捂脸],画一幅画坚定的步伐，走到酷手下面，看见开了一朵花。顽强的生命力在建造属于他的家。,13718.0,4415.0,4.0,9.0,0.0,n_oV-YXFMvg.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2200.0,20260606.0,1131477143977.0,,竟然可以发语音了[色],小哥哥太小了，叫叔叔太老了，叫妈妈性别不对。你想想该叫什么？,14250.0,4414.0,7.0,13.0,0.0,PO2Fa-AGBTI.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,张淑君
2201.0,20260610.0,1131141451985.0,,,不是大妹子，你在这干啥呢，我靠那么可爱吗？,4293.0,4414.0,19.0,49.0,0.0,9ofG8o1yW1o.aac,,0.0,1.0,优质,提问,无评论内容,语义相等内容有差异,张淑君
2202.0,20260602.0,1131362403719.0,,我就这么莫名其妙[委屈],劳燕分飞季。飘的夜里泪两行。,7460.0,4412.0,6.0,39.0,0.0,ZPO7IdrsB7Y.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2203.0,20260610.0,1131342218831.0,,,我靠，快手居然可以发语音了。,3246.0,4410.0,4.0,0.0,0.0,pIAQfnDFINM.aac,,0.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2204.0,20260606.0,1132442364472.0,,,那是他的腿。,2974.0,4404.0,3.0,2.0,0.0,MENGBAwJDaM.aac,,1.0,1.0,优质,简短回应,无评论内容,完全一致,张淑君
2205.0,20260609.0,1138913585646.0,,放完我就跑[头盔],what do you see before you。money for should 't going to sorry with they are you。that's good be the baby i love for you。that's good be,22874.0,4404.0,11.0,42.0,0.0,xHyg2lgkD1s.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2206.0,20260603.0,1136937847834.0,,植二打喷嚏,啊啊啊啊。我爱你。啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦。咕咕咕噜。,20273.0,4402.0,11.0,45.0,1.0,EqVTgI_EYrc.aac,,0.0,0.0,一般,其他,相关-互为补充,语义相等内容有差异,张淑君
2207.0,20260607.0,1138958057512.0,,,city staction,1839.0,4400.0,1.0,0.0,1.0,g7bq86xrl6Y.aac,,0.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2208.0,20260610.0,1137285604068.0,,我不行了 救救我[大哭],是给我一个游泳的建议啊，呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜,9426.0,4398.0,5.0,7.0,0.0,rziqhSKpnII.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2209.0,20260610.0,1136577611406.0,,没办法，我英语68看见东北人说那么标准，有点点嫉妒了（我不行了，没有恶意纯吐槽）,哎哟，不行了，你们东北干啥的呀，人教英语的事吧。就像咱四川普通话也是十分的标准的，好吧。咱英语也是一点都不会说的。,17244.0,4396.0,4.0,15.0,0.0,isNYgX0dEdA.aac,,1.0,1.0,优质,观点表达,相关-互为补充,语义相等内容有差异,张淑君
2210.0,20260610.0,1134546435580.0,,我才是,来老弟你跟我比财富，我一张，我崔伯q，来我两张，我大伯q来来来。我才是好不好。,8701.0,4395.0,5.0,29.0,0.0,xXM9D9kfao8.aac,,0.0,1.0,优质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2211.0,20260610.0,1136403183391.0,,,就这样子。我只摔倒了，又不是摔死了，你凭什么觉得我爬不起来。,8975.0,4395.0,8.0,1.0,2.0,H7d3FVPi8vg.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2212.0,20260606.0,1132027106932.0,,,哇塞，不会吧，不会吧，嗯，对。所有人都猜一下我在吃什么。,6547.0,4394.0,2.0,0.0,0.0,Xyc8Z7s8S5Y.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2213.0,20260605.0,1136512167583.0,,,我真的好崩溃呀。,2936.0,4390.0,5.0,9.0,1.0,FLGsAWbGJ08.aac,,0.0,0.0,一般,唱歌/朗诵,无评论内容,语义相等内容有差异,张淑君
2214.0,20260601.0,1132309795687.0,,善有善报👅恶有恶报👅没关系啊👅你有我抱👅👋🏻近朱者赤👅👄近墨者黑👄👅👄别忘了哦👅👄近我者甜👅👄,善有善报。幺二宝没关系呀。你玩吧。近朱者赤，近墨者黑。别忘了。新王者铁。,29701.0,4389.0,14.0,30.0,0.0,DFonnrgziXA.aac,,-1.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,张淑君
2215.0,20260607.0,1137790963651.0,,你们都没有语音吗,我要烟。给我擦皮鞋。,4570.0,4387.0,18.0,14.0,0.0,SyPJ7HL83b8.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2216.0,20260610.0,1139828513888.0,,没招了,本来想夸你的，结果听到你后面的笑声，我不知道为啥我也跟着你笑了，嗯，对。,5808.0,4386.0,2.0,4.0,0.0,1tHtQXXefXk.aac,,0.0,-1.0,劣质,观点表达,相关-互为补充,语义相等内容有差异,张淑君
2217.0,20260610.0,1131190354107.0,,我不会唱[心心],臭小五是我大屁屁一击。啊。,6062.0,4386.0,12.0,34.0,0.0,FjkK8MY9Q1s.aac,,0.0,0.0,一般,其他,相关-互为补充,语义相等内容有差异,张淑君
2218.0,20260610.0,1131397790432.0,,有谁能听到啊[落泪],不存口气吗，小大人。,2135.0,4385.0,16.0,14.0,0.0,y0lFwBDkkEM.aac,,0.0,0.0,一般,提问,相关-互为补充,语义相等内容有差异,张淑君
2219.0,20260610.0,1134191666211.0,,不行了，我妹妹一直在旁边说话,我当了buff，你叫我说这个。我不要吃鸡蛋，我要吃鸭。,6511.0,4382.0,3.0,5.0,0.0,6iAkn5ynLI8.aac,,-1.0,-1.0,劣质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2220.0,20260610.0,1139588086006.0,,周围枪,赵卫强。,1591.0,4380.0,5.0,3.0,0.0,EGCObZidjNo.aac,,0.0,0.0,一般,其他,不相关,语义相等内容有差异,张淑君
2221.0,20260608.0,1131495614077.0,,,饿。,3019.0,4378.0,5.0,0.0,0.0,3KVRrep0MLM.aac,,0.0,0.0,一般,发语音玩,无评论内容,语义相等内容有差异,张淑君
2222.0,20260610.0,1131799166681.0,,听我语音的有福了,对呀对呀，苹果可以发语音呀。,4151.0,4378.0,11.0,15.0,0.0,sopvcGQLFWI.aac,,1.0,-1.0,劣质,社交互动,相关-引导听评论,语义相等内容有差异,张淑君
2223.0,20260610.0,1134768933428.0,,,请问你们的快手语音功能开放了吗？,5234.0,4374.0,9.0,15.0,0.0,vZCB9j-r4uE.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2224.0,20260610.0,1138580331191.0,,已经努力了,say didn't fixi。,2189.0,4372.0,3.0,11.0,0.0,Z5TfguUrJc8.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,张淑君
2225.0,20260610.0,1137523600469.0,,,评论区可以发语音啦。,3709.0,4371.0,15.0,0.0,0.0,_qeIJH9x2sE.aac,,1.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2226.0,20260610.0,1135438817927.0,,[装傻]我不知道哎，我更新了就可以发了,哈喽哈喽。,1487.0,4370.0,0.0,2.0,0.0,ROiPi9dvkG0.aac,,0.0,0.0,一般,打招呼/问候,相关-互为补充,语义相等内容有差异,张淑君
2227.0,20260610.0,1132153173925.0,,,呵哈哈。是谁把你带到人世间。,5395.0,4370.0,21.0,136.0,0.0,kdFJXXKHHRc.aac,,0.0,0.0,一般,唱歌/朗诵,无评论内容,语义相等内容有差异,张淑君
2228.0,20260610.0,1138174242696.0,,[做作业]我这是什么音,小萝卜。,1929.0,4369.0,11.0,13.0,0.0,l05QlK9Q1mE.aac,,0.0,1.0,优质,打招呼/问候,相关-互为补充,语义相等内容有差异,张淑君
2229.0,20260610.0,1134993443461.0,,[生气][生气][生气]够不够辣条,哈喽哈喽，对我有卖大不大？,3790.0,4368.0,5.0,4.0,0.0,p_UwE4Qf0PU.aac,,0.0,0.0,一般,提问,相关-互为补充,语义相等内容有差异,张淑君
2230.0,20260610.0,1139006555019.0,,[汗],嗯，对，是这样的。salit faction。,4312.0,4367.0,4.0,3.0,1.0,4ZUM8a0Np4M.aac,,1.0,1.0,优质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,张淑君
2231.0,20260606.0,1136997750901.0,,关掉这么容易的事情，你们怎么做不到[憨笑哪吒],这个别生气，关掉不是很简单吗？你们怎么都不会。,9139.0,4365.0,4.0,17.0,0.0,D_A1oIw9usk.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2232.0,20260610.0,1138554638243.0,,我可以别的英语吗[都市丽人],peautiful。,1494.0,4363.0,1.0,3.0,0.0,hKeTk-aZJ1Q.aac,,1.0,1.0,优质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2233.0,20260609.0,1137605957720.0,,我是小学生，声音有点辣条，不要骂我，谢谢[爱心][爱心][玫瑰],怎不忍心怪你对我太独特。无时无刻像是一首无法停止单曲循环的。无名哥。,16743.0,4362.0,2.0,8.0,0.0,mmA3DyN85A8.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2234.0,20260610.0,1138560143841.0,,,哈哈哈。,1550.0,4362.0,0.0,1.0,0.0,D4Wf6TGUhYk.aac,,-1.0,0.0,劣质,其他,无评论内容,完全一致,张淑君
2235.0,20260610.0,1133129461072.0,,声音不好听[色],何必心存侥幸，何必太羞耻。,4171.0,4361.0,11.0,4.0,0.0,AUlzXm7kYPk.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2236.0,20260610.0,1132310813570.0,,试试，不好听别骂我[落泪],我们辗转几何，可结果又是如何。没有任何意义，其实你根本没爱过我脑袋空白在此刻。我写了这首歌，其实没什么舍不得，只是眼睛酸涩全是红色。,20634.0,4360.0,14.0,42.0,2.0,uZIVmk2MbrU.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2237.0,20260610.0,1132212933402.0,,[憨笑哪吒]后面破了 笑死我了,像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。,15356.0,4360.0,7.0,37.0,1.0,oYpvdXxP71k.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2238.0,20260607.0,1139193203933.0,,,听到我这个声音，这辈子都有了。,5044.0,4357.0,6.0,4.0,0.0,79URTblENTw.aac,,0.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2239.0,20260610.0,1131473919361.0,,我也来凑个热闹,彩云之南。往昔的方向，孔雀飞去回忆悠长。玉龙雪山闪耀着一国羞涩丽江。,22480.0,4356.0,4.0,18.0,0.0,vL3ETyIuQ8Q.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2240.0,20260607.0,1132283160362.0,,,哈喽。,1301.0,4356.0,1.0,9.0,0.0,FaWBKoOBjs0.aac,,0.0,0.0,一般,打招呼/问候,无评论内容,完全一致,张淑君
2241.0,20260610.0,1138660704460.0,,神罗天征,新浪开始。,2657.0,4354.0,5.0,1.0,0.0,Zn5eG7q9qr4.aac,,0.0,-1.0,劣质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2242.0,20260610.0,1137454388356.0,,哎哟我去不行了[憨笑][憨笑][憨笑][憨笑],为什么要把冰块放进秋裤。因为姐的冷库零下八度。,6582.0,4351.0,13.0,12.0,4.0,gE00ycX8yc0.aac,,1.0,1.0,优质,玩梗/搞笑,不相关,语义相等内容有差异,张淑君
2243.0,20260606.0,1134422267453.0,,吃嘞个豆[不看],我靠，快手可以发语音啊。,3832.0,4349.0,5.0,4.0,0.0,I0bDd5A-FjM.aac,,1.0,1.0,优质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2244.0,20260610.0,1131389193917.0,,,我去姐妹我也有了。,2001.0,4347.0,1.0,4.0,2.0,W1Q4pFUyLfI.aac,,0.0,1.0,优质,社交互动,无评论内容,语义相等内容有差异,张淑君
2245.0,20260610.0,1138505696004.0,,,哈喽哈喽。,1994.0,4342.0,1.0,3.0,0.0,l-dus9DAVD4.aac,,0.0,1.0,优质,打招呼/问候,无评论内容,语义相等内容有差异,张淑君
2246.0,20260610.0,1131419352452.0,,就是我同学跟我说我和那个王橹杰粉丝声音很像,王鲁杰。,2250.0,4341.0,1.0,6.0,0.0,4JyqBTeVck8.aac,,0.0,-1.0,劣质,社交互动,相关-互为补充,语义相等内容有差异,张淑君
2247.0,20260610.0,1132393172418.0,,[惊恐]感觉自己声音偏低了,DJ DJ给我一条k。DJ DJ我想要飞。DJ DJ给我一条k。djdj我想妹妹。,15317.0,4341.0,4.0,19.0,1.0,guOIWFQ2cpI.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2248.0,20260609.0,1131692974201.0,,,非常的爱玩这个快手真的是牛逼克拉斯啊。,4030.0,4339.0,1.0,3.0,0.0,atwVCsD3A20.aac,,1.0,1.0,优质,观点表达,无评论内容,完全一致,张淑君
2249.0,20260609.0,1136112767565.0,,[捂脸],笑哭了，我不行了。,3249.0,4336.0,1.0,4.0,0.0,AW0TTpaN5qY.aac,,1.0,1.0,优质,情感表达,相关-互为补充,语义相等内容有差异,张淑君
2250.0,20260608.0,1134510873092.0,,嘿嘿，终于可以发语音啦（不喜勿喷）,慈白发望断崖，几时落寞残花。任宿命掀起红尘绝绝放下。,13179.0,4334.0,3.0,15.0,0.0,ncxDNZvpV-8.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,张淑君
2251.0,20260610.0,1131783541333.0,,,笑的我在床上蹦了俩大屁。,2656.0,4332.0,4.0,12.0,1.0,sJax4zSx3Y4.aac,,0.0,0.0,一般,玩梗/搞笑,无评论内容,语义相等内容有差异,赵婷婷
2252.0,20260606.0,1131419430154.0,,,不是挺多的嘛，我意见挺多的呀，反正。之前发现的，但是我同学有些没有啊，可能是吧，反正我感觉挺多的。,11820.0,4323.0,0.0,3.0,0.0,qxQGE0XgEb4.aac,,0.0,0.0,一般,生活分享,无评论内容,语义相等内容有差异,赵婷婷
2253.0,20260610.0,1136114003766.0,,想我了么 我的小女朋友,想我了吗？我的小女朋友。,4930.0,4323.0,6.0,36.0,0.0,nGNJCg4ER7E.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,赵婷婷
2254.0,20260610.0,1133677636399.0,,来来听听我的吧,我的妈呀大姐。嗷。,14130.0,4322.0,15.0,13.0,1.0,X7C6VVSUsQc.aac,,0.0,-1.0,劣质,玩梗/搞笑,无评论内容,语义相等内容有差异,赵婷婷
2255.0,20260610.0,1132609149287.0,,感觉有点跑调了[憨笑哪吒],卷出娇恩怨撩谁笑。我只求紧张，拥你入怀抱。红尘可缘分似刀旧雨落宿命长。,21761.0,4321.0,6.0,36.0,0.0,3DEB4ZRhGZ4.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
2256.0,20260610.0,1133169902565.0,,怎么能上班啊,哈哈哈哈哈。,3104.0,4320.0,15.0,112.0,0.0,v06xfzwjzoY.aac,,-1.0,0.0,劣质,其他,不相关,语义相等内容有差异,赵婷婷
2257.0,20260610.0,1137006570298.0,,,这个变声器发语音还在唱歌，我听着语音绷不住了。,6887.0,4320.0,6.0,7.0,0.0,QYj2sxQAoMM.aac,,0.0,0.0,一般,生活分享,无评论内容,语义相等内容有差异,赵婷婷
2258.0,20260605.0,1133109163766.0,,,我的妈呀，小姐姐们，你们演都不演了吗？,4480.0,4318.0,9.0,1.0,2.0,si01Qe8ooAw.aac,,-1.0,0.0,劣质,其他,无评论内容,语义相等内容有差异,赵婷婷
2259.0,20260610.0,1131248912096.0,,,小妹妹你挺牛逼，克拉斯呀。,3968.0,4317.0,10.0,15.0,0.0,1KwVXC7f9Qc.aac,,-1.0,0.0,劣质,夸赞/支持,无评论内容,语义相等内容有差异,赵婷婷
2260.0,20260610.0,1140187527919.0,,[大哭][大哭][大哭],不是什么意思呀，不要骂我呀，呜呜。,3606.0,4316.0,20.0,2.0,2.0,NoFCMNpt6OY.aac,,0.0,0.0,一般,玩梗/搞笑,不相关,语义相等内容有差异,赵婷婷
2261.0,20260610.0,1134747201506.0,,,那万一。你不拉屎呢。,3739.0,4315.0,8.0,11.0,0.0,IVHuGSnIrq8.aac,,0.0,0.0,一般,提问,无评论内容,语义相等内容有差异,赵婷婷
2262.0,20260610.0,1140256268158.0,,,没氛围了，你又得说吧。,2841.0,4315.0,1.0,2.0,0.0,82dar3JbOdQ.aac,,0.0,0.0,一般,提问,无评论内容,语义相等内容有差异,赵婷婷
2263.0,20260610.0,1132862558316.0,,门前大桥下死了一群鸭，快来快来数一数，二四六七八，嘎嘎嘎嘎嘎，好多好多鸭,门前大桥下。421吃鸭。快来快来数一数。二四。你有钱吗？嘎嘎嘎嘎嘎。,17236.0,4314.0,24.0,127.0,0.0,COyRGajxJZ4.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
2264.0,20260610.0,1134977321384.0,,是歌词？有什么问题吗？怎么会那么难唱呢？,感情里的怪咖，有铺垫就不尴尬。,7341.0,4314.0,2.0,1.0,0.0,ybpSsoUs1Z0.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
2265.0,20260606.0,1137182505705.0,,送你们一首歌,七彩缤纷。那美丽的卓玛依然是一个斯雷姆耶稣蒂莉卡娜斯基玛伊蒂摩托。不能倒，不能倒，激情扛起青金柱。急了急了。miss you kiss you miss you give up拿来给只you know move move yes you。i'm see you see you see you see you see you。不能告诉给你了，想提起你土豆给我烧香点不住。天爱是个吉祥花。请听啊这歌唱啊，一起浪花浪。阿哥阿妹先说妹阿哥阿妹先说妹阿哥阿妹那妹再说妹哥哥你喜欢看。,60018.0,4313.0,4.0,4.0,1.0,re4ZqkFekdk.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
2266.0,20260610.0,1132289429619.0,,最后绷不住了,在评论区也没进哦。仗一声帝王道火光芒太闪耀燃，征战江场傲收不败的账号。,11762.0,4309.0,11.0,10.0,0.0,fImZlXuemeg.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
2267.0,20260610.0,1136123412290.0,,[戴口罩]？,没有人可以一直说，你根本没爱过我那样澎湃的sky。我写了这首歌是什么什么说不出，只是眼睛是闪烁。把你的心给我，把你的爱给我，只要我穿云箭找就有很多宝物。,26755.0,4308.0,4.0,7.0,0.0,dAWZRsTEjRU.aac,,0.0,-1.0,劣质,唱歌/朗诵,不相关,语义相等内容有差异,赵婷婷
2268.0,20260610.0,1134745352543.0,,《红尘客栈》,建筑桥恩怨了谁笑。我只求今朝拥你入怀抱。红尘客绽放四刀旧雨落宿命宵。任雾里水淋风洒，我却只为你折腰。,30424.0,4306.0,10.0,109.0,0.0,WP4wp-nNyJU.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
2269.0,20260608.0,1136551465055.0,,没招了,对，大概就是已经习以为常了。,3961.0,4306.0,5.0,19.0,0.0,b9sDw087Huo.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
2270.0,20260610.0,1135568635974.0,,绷不住了[色],我希望爱。人能叫我恩恩就好啦。,4389.0,4304.0,2.0,27.0,1.0,DZl454AkCr4.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
2271.0,20260610.0,1136947392320.0,,哈哈哈哈,你去帮我骂他们呀，让他们不要发了。,4595.0,4304.0,9.0,46.0,0.0,0Rogal42-V4.aac,,0.0,-1.0,劣质,玩梗/搞笑,不相关,语义相等内容有差异,赵婷婷
2272.0,20260610.0,1134602810666.0,,可以评价一下我的声音嘛[尊嘟假嘟],可以评价一下我的声音吗？,2766.0,4295.0,9.0,13.0,3.0,NuLInC7DRM0.aac,,0.0,0.0,一般,提问,"相关-互为补充,相关-引导听评论",语义相等内容有差异,赵婷婷
